Application ID,mohela_clid,Application_date,Loan Amount,Closing_date,Schedule_funding_date,Stage,Loan_Type,Term,Rate Type,Undiscounted Rate,disbursement_1,disbursement_1_date,disbursement_2,disbursement_2_date,disbursement_3,disbursement_3_date,disbursement_4,disbursement_4_date
220432,220432,05/01/2019,183126.6,05/08/2019,05/08/2019,Closed,Refi,10,Fixed,4.71,,,,,,,,
220271P2,220271P2,05/01/2019,151793.02,05/09/2019,05/09/2019,Closed,Refi,5,Fixed,4.81,,,,,,,,
220479,220479,05/02/2019,157109.92,05/10/2019,05/10/2019,Closed,Refi,5,Fixed,4.22,,,,,,,,
220530,220530,05/02/2019,55390.53,05/09/2019,05/09/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220531,220531,05/02/2019,132900.11,05/08/2019,05/08/2019,Closed,Refi,15,Fixed,5.48,,,,,,,,
220537,220537,05/02/2019,22324.63,06/14/2019,06/14/2019,Closed,Refi,5,Fixed,3.75,,,,,,,,
220546,220546,05/02/2019,65717.42,05/10/2019,05/10/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220553,220553,05/02/2019,26902.22,06/10/2019,06/10/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220567,220567,05/02/2019,135100,05/15/2019,05/15/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220569,220569,05/02/2019,64231.17,06/05/2019,06/05/2019,Closed,Refi,20,Fixed,6.55,,,,,,,,
220571P1,220571P1,05/02/2019,198761.91,05/20/2019,05/20/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220613,220613,05/02/2019,171931.48,06/03/2019,06/03/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220623,220623,05/02/2019,90413.73,05/21/2019,05/21/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
220626,220626,05/02/2019,88134.11,05/16/2019,05/16/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220628,220628,05/02/2019,231997.83,05/23/2019,05/23/2019,Closed,Refi,10,Fixed,4.71,,,,,,,,
220525,220525,05/02/2019,133593.41,05/09/2019,05/09/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220651,220651,05/02/2019,45476.93,06/05/2019,06/05/2019,Closed,Refi,20,Variable,6.25,,,,,,,,
220650,220650,05/02/2019,42573.81,05/16/2019,05/16/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220660,220660,05/02/2019,48408.5,05/09/2019,05/09/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220700,220700,05/02/2019,69248.86,05/16/2019,05/16/2019,Closed,Refi,10,Fixed,5.13,,,,,,,,
220688,220688,05/02/2019,14263.95,05/21/2019,05/21/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
220696,220696,05/02/2019,47849.45,05/16/2019,05/16/2019,Closed,Refi,10,Fixed,5.13,,,,,,,,
220712,220712,05/02/2019,85636.06,05/10/2019,05/10/2019,Closed,Refi,20,Fixed,6.13,,,,,,,,
220721,220721,05/02/2019,51934.36,05/10/2019,05/10/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220753,220753,05/02/2019,72059.26,05/17/2019,05/17/2019,Closed,Refi,10,Fixed,4.71,,,,,,,,
220511,220511,05/02/2019,39441.67,06/06/2019,06/06/2019,Closed,Refi,15,Fixed,6.32,,,,,,,,
220499,220499,05/02/2019,48566.41,05/13/2019,05/13/2019,Closed,Refi,5,Fixed,3.75,,,,,,,,
220509,220509,05/02/2019,109865.56,06/06/2019,06/06/2019,Closed,Refi,10,Fixed,4.71,,,,,,,,
5002100890D01,,05/02/2019,115000,,,Applied,In-School,,,,,,,,,,,
220535,220535,05/02/2019,53943.85,05/09/2019,05/09/2019,Closed,Refi,10,Fixed,4.92,,,,,,,,
220543,220543,05/02/2019,125000,06/14/2019,06/14/2019,Closed,Refi,5,Fixed,4.65,,,,,,,,
220577,220577,05/02/2019,17000,05/23/2019,05/23/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220599,220599,05/02/2019,159145.29,05/20/2019,05/20/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220618,220618,05/02/2019,63309.53,05/16/2019,05/16/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220655,220655,05/02/2019,20240.53,05/15/2019,05/14/2019,Closed,Refi,5,Fixed,4.71,,,,,,,,
220656,220656,05/02/2019,29164.71,05/16/2019,05/16/2019,Closed,Refi,7,Fixed,4.79,,,,,,,,
220654,220654,05/02/2019,129679.13,05/09/2019,05/09/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220667,220667,05/02/2019,41933,05/17/2019,05/17/2019,Closed,Refi,20,Fixed,6.96,,,,,,,,
220674,220674,05/02/2019,76075.75,06/11/2019,06/11/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220669,220669,05/02/2019,24740.81,05/09/2019,05/09/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
